underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^VIX,2017-08-21,VIX,2017-09-13,16.000,P,3.0000,3.0000,3.0000,3.0000,20,324,2.8000,3004,3.1000,13.2000,13.2000,283,2.8500,508,3.1000,13.1900,13.1900,3.0000,247,
^VIX,2017-08-21,VIX,2017-09-13,17.000,C,1.1200,1.1200,0.7300,0.7300,1538,2455,0.6500,1719,0.8500,13.2000,13.2000,1738,0.6500,907,0.8500,13.1900,13.1900,0.8142,6424,
^VIX,2017-08-21,VIX,2017-09-13,17.000,P,0.0000,0.0000,0.0000,0.0000,0,235,3.6000,646,3.9000,13.2000,13.2000,297,3.6000,3204,4.0000,13.1900,13.1900,0.0000,9,
^VIX,2017-08-21,VIX,2017-09-13,18.000,C,0.9100,0.9100,0.6500,0.6500,41,1,0.6000,640,0.7000,13.2000,13.2000,1939,0.5000,518,0.7000,13.1900,13.1900,0.8041,16282,
^VIX,2017-08-21,VIX,2017-09-13,18.000,P,0.0000,0.0000,0.0000,0.0000,0,253,4.5000,2161,4.8000,13.2000,13.2000,2301,4.5000,308,4.8000,13.1900,13.1900,0.0000,9,
^VIX,2017-08-21,VIX,2017-09-13,19.000,C,0.8100,0.8100,0.6000,0.6400,42,2210,0.4500,704,0.6000,13.2000,13.2000,2110,0.4000,878,0.6000,13.1900,13.1900,0.6910,20653,
^VIX,2017-08-21,VIX,2017-09-13,19.000,P,0.0000,0.0000,0.0000,0.0000,0,164,5.4000,1593,5.8000,13.2000,13.2000,344,5.4000,1892,5.9000,13.1900,13.1900,0.0000,10,
^VIX,2017-08-21,VIX,2017-09-13,20.000,C,0.6500,0.7500,0.5500,0.5500,85,2760,0.3500,485,0.5000,13.2000,13.2000,2108,0.3500,200,0.4500,13.1900,13.1900,0.6604,21755,
^VIX,2017-08-21,VIX,2017-09-13,20.000,P,0.0000,0.0000,0.0000,0.0000,0,170,6.3000,896,6.7000,13.2000,13.2000,332,6.3000,1827,6.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-13,21.000,C,0.4500,0.4600,0.3800,0.3800,2786,1251,0.3000,1343,0.4500,13.2000,13.2000,1256,0.3000,1028,0.4500,13.1900,13.1900,0.4208,42,
^VIX,2017-08-21,VIX,2017-09-13,21.000,P,0.0000,0.0000,0.0000,0.0000,0,274,7.2000,1374,7.7000,13.2000,13.2000,487,7.2000,1298,7.8000,13.1900,13.1900,0.0000,0,
^VIX,2017-08-21,VIX,2017-09-13,22.000,C,0.5000,0.5000,0.5000,0.5000,10,10,0.3000,1432,0.4000,13.2000,13.2000,10,0.3000,1513,0.4000,13.1900,13.1900,0.5000,19,
