date,underlying,root_symbol,exchange,futures_symbol,futures_expiration_date,futures_close,options_expiration_date,strike,type,style,bid,ask,settlement,volume,open_interest
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1790,P,E,0,0.05,0.05,0,266
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1800,C,E,0,0,701,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1800,P,E,0,0.05,0.05,0,340
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1810,C,E,0,0,691,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1810,P,E,0,0.05,0.05,0,196
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1820,C,E,0,0,681,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1820,P,E,0,0.05,0.05,0,40
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1825,C,E,0,0,676,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1825,P,E,0,0.05,0.05,0,219
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1830,C,E,0,0,671,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1830,P,E,0,0.05,0.05,0,227
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1840,C,E,0,0,661,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1840,P,E,0,0.05,0.05,0,163
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1850,C,E,0,0,651,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1850,P,E,0,0.05,0.05,0,445
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1860,C,E,0,0,641,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1860,P,E,0,0.05,0.05,0,37
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1870,C,E,0,0,631,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1870,P,E,0,0.05,0.05,0,327
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1875,C,E,0,0,626,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1875,P,E,0,0.05,0.05,0,600
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1880,C,E,0,0,621,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1880,P,E,0,0.05,0.05,0,142
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1890,C,E,0,0,611,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1890,P,E,0,0.05,0.05,0,163
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1900,C,E,0,0,601,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1900,P,E,0,0.05,0.05,0,234
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1910,C,E,0,0,591,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1910,P,E,0,0.05,0.05,0,91
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1920,C,E,0,0,581,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1920,P,E,0,0.05,0.05,0,33
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1925,C,E,0,0,576,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1925,P,E,0,0.05,0.05,0,1042
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1930,C,E,0,0,571,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1930,P,E,0,0.05,0.05,0,41
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1940,C,E,0,0,561,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1940,P,E,0,0.05,0.05,0,387
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1950,C,E,0,0,551,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1950,P,E,0,0.05,0.05,0,94
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1960,C,E,0,0,541,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1960,P,E,0,0.05,0.05,0,340
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1970,C,E,0,0,531,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1970,P,E,0,0.05,0.05,0,342
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1975,C,E,0,0,526,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1975,P,E,0,0.05,0.05,0,172
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1980,C,E,0,0,521,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1980,P,E,0,0.05,0.05,0,109
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1990,C,E,0,0,511,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,1990,P,E,0,0.05,0.05,0,489
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2000,C,E,0,0,501,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2000,P,E,0,0.05,0.05,0,2321
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2010,C,E,0,0,491,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2010,P,E,0,0.05,0.05,0,147
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2015,C,E,0,0,486,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2015,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2020,C,E,0,0,481,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2020,P,E,0,0.05,0.05,0,233
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2025,C,E,0,0,476,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2025,P,E,0,0.05,0.05,0,16691
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2030,C,E,0,0,471,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2030,P,E,0,0.05,0.05,0,910
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2035,C,E,0,0,466,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2035,P,E,0,0.05,0.05,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2040,C,E,0,0,461,0,0
09/22/2017,ES,EW4,CME,ES/17Z.CM,12/15/2017,2511,09/22/2017,2040,P,E,0,0.05,0.05,0,2924
