Symbol,Last,Change,High,Low,Ask,Ask IV,Call/Put,Delta,Gamma,Item Type,Market Price,Open,Original Price,Pcnt To Double,Previous Close,Open Interest,Percent O/U,Mid IV,ExpDate,Existing Posn.,Date,Rho,SV,Theta,Time,Trade,Vega,Bid IV,Prob.Finish.ITM,Projected Volty,Strike Price,Time Premium,Th.Price,Description,At Price,Volume,Bid
RURPN,18.4,,,,14.7,0.585,P,-18.628,0.215,O,14.69,,0,0.128,,34,0.009,0.585,090417,,090126,-22.01,0.367,-20.788,15:30:00,,57.463,0.578,0.116,0.582,370,14.69,14.56,Apr 370 Puts,,,14.3
RURRN,31.2,,,,24.7,0.558,P,-22.335,0.19,O,24.63,,0,0.176,,350,0.018,0.557,090619,,090126,-49.408,0.367,-16.426,15:30:00,,85.012,0.548,0.188,0.552,370,24.63,24.2,Jun 370 Puts,,,23.9
RURUN,43.8,,,,35.3,0.527,P,-24.642,0.167,O,35.13,,0,0.227,,336,0.014,0.526,090918,,090126,-93.639,0.367,-12.64,15:30:00,,114.006,0.517,0.249,0.522,370,35.13,34.65,Sep 370 Puts,,,34.1
RURBP,90.26,,,,81.1,,C,88.98,0.257,O,81.3,,0,0.178,,85,0.007,,090220,,090126,22.281,0.367,-27.423,15:30:00,,22.513,,0.972,0.612,380,4.05,80.71,Feb 380 Calls,,,80.6
RURCP,81.8,3.95,81.8,81.8,87.9,,C,81.675,0.252,O,87.18,81.8,0,0.205,77.85,78,-0.004,,090320,,090126,41.316,0.367,-26.402,15:30:00,,46.092,,0.903,0.606,380,9.93,87.52,Mar 380 Calls,,10,87
RURDP,-1,,,,93.4,,C,78.658,0.233,O,92.1,,0,0.223,,,-0.003,,090417,,090126,58.872,0.367,-22.487,15:30:00,,62.358,,0.851,0.582,380,14.85,92.42,Apr 380 Calls,,,90.8
RURFP,92.52,,,,102.1,,C,75.278,0.201,O,100.31,,0,0.255,,165,-0.01,,090619,,090126,94.576,0.367,-17.396,15:30:00,,89.907,,0.779,0.553,380,23.06,101.3,Jun 380 Calls,,,99.3
RURIP,67.2,,,,110.2,0.522,C,73.482,0.178,O,107.1,,0,0.28,,48,-0.014,0.496,090918,,090126,143.171,0.367,-12.679,15:30:00,,118.451,0.503,0.721,0.509,380,29.85,108.66,Sep 380 Calls,,,108
RURNP,3.8,-3.01,5.46,3.68,3.9,0.6,P,-10.566,0.255,O,3.8,5.46,0,0.06,6.81,7185,-0.018,0.596,090220,,090126,-3.565,0.367,-25.712,15:30:00,,21.842,0.591,0.028,0.599,380,3.8,3.87,Feb 380 Puts,,105,3.7
RUROP,11.43,-5.77,12.9,11.43,11.5,0.6,P,-18.051,0.254,O,11.4,12.9,0,0.103,17.2,1836,0.006,0.598,090320,,090126,-13.576,0.367,-25.84,15:30:00,,45.66,0.596,0.097,0.597,380,11.4,11.33,Mar 380 Puts,,31,11.3
RURPP,21.5,,,,16.8,0.572,P,-21.006,0.236,O,16.79,,0,0.13,,70,0.011,0.572,090417,,090126,-24.863,0.367,-21.885,15:30:00,,61.782,0.564,0.149,0.569,380,16.79,16.61,Apr 380 Puts,,,16.3
RURRP,34.2,,,,27.3,0.547,P,-24.509,0.204,O,27.25,,0,0.179,,1388,0.015,0.546,090619,,090126,-54.336,0.367,-16.959,15:30:00,,89.492,0.538,0.221,0.542,380,27.25,26.86,Jun 380 Puts,,,26.5
RURUP,44.7,,,,38.4,0.519,P,-26.586,0.177,O,38.03,,0,0.23,,166,0.008,0.516,090918,,090126,-101.254,0.367,-12.891,15:30:00,,118.606,0.508,0.279,0.514,380,38.03,37.73,Sep 380 Puts,,,37
RURBR,60,,,,72.1,,C,86.276,0.31,O,71.29,,0,0.161,,146,-0.008,,090220,,090126,22.045,0.367,-31.067,15:30:00,,26.249,,0.95,0.593,390,4.04,71.83,Feb 390 Calls,,,71.6
